-9.922	0.000	0.000	-9.922
-8.872	0.000	0.000	-8.872
-9.619	0.000	0.000	-9.619
-10.974	0.000	0.000	-10.974
-9.251	0.000	0.000	-9.251
-9.779	0.000	0.000	-9.779
-9.549	0.000	0.000	-9.549
-9.610	0.000	0.000	-9.610
-10.194	0.000	0.000	-10.194
-8.698	0.000	0.000	-8.698
-10.003	0.000	0.000	-10.003
-10.760	0.000	0.000	-10.760
-9.311	0.000	0.000	-9.311
-9.366	0.000	0.000	-9.366
-10.195	0.000	0.000	-10.195
-9.483	0.000	0.000	-9.483
-10.919	0.000	0.000	-10.919
-9.747	0.000	0.000	-9.747
-10.328	0.000	0.000	-10.328
-9.529	0.000	0.000	-9.529
-8.681	0.000	0.000	-8.681
-8.984	0.000	0.000	-8.984
-9.130	0.000	0.000	-9.130
-10.624	0.000	0.000	-10.624
-10.618	0.000	0.000	-10.618
-9.685	0.000	0.000	-9.685
-9.738	0.000	0.000	-9.738
-9.778	0.000	0.000	-9.778
-9.147	0.000	0.000	-9.147
-8.767	0.000	0.000	-8.767
-10.231	0.000	0.000	-10.231
-8.840	0.000	0.000	-8.840
-9.675	0.000	0.000	-9.675
-9.539	0.000	0.000	-9.539
-10.188	0.000	0.000	-10.188
-10.421	0.000	0.000	-10.421
-9.996	0.000	0.000	-9.996
-9.223	0.000	0.000	-9.223
-10.025	0.000	0.000	-10.025
-9.946	0.000	0.000	-9.946
-9.885	0.000	0.000	-9.885
-9.138	0.000	0.000	-9.138
-10.540	0.000	0.000	-10.540
-10.478	0.000	0.000	-10.478
-9.847	0.000	0.000	-9.847
-8.932	0.000	0.000	-8.932
-9.724	0.000	0.000	-9.724
-9.268	0.000	0.000	-9.268
-10.076	0.000	0.000	-10.076
-9.355	0.000	0.000	-9.355
-8.879	0.000	0.000	-8.879
